rank,model,loocv_rmse,full_fit_rmse,r2,equation
1,Power,0.9351670393141296,0.6874579630709498,0.9922839821036604,Q = 38.336E^0.390654
2,Cubic,1.481880299405387,0.8115824568899921,0.9892460940492467,Q = 815.3002E³ -596.6200E² +166.9860E +4.3058
3,Quadratic,2.0120016911063914,1.3035888705034708,0.9722551602717168,Q = -137.1457E² +106.6597E +5.5334
4,Linear,2.810739137713435,2.2487491187484627,0.9174374791279155,Q = 50.8583E +8.0647
5,Exponential,3.541799100949936,2.9675117614267545,0.8562241875964948,Q = 9.8376exp(2.6760E)
6,Logarithmic,3.7976666970945043,2.438314105343354,0.9029310717738204,Q = 4.5536ln(E) +28.2690
