time_s,actual_flow_ml_s,gradient_boosting_flow_ml_s,calibration_equation_flow_ml_s,offset_corrected_calibration_flow_ml_s
0.0,1.302811200816202,2.3858661104166083,0.0,0.0
0.1310000000000002,1.9808601981929312,2.738647116506093,0.0,0.0
0.2620000000000004,2.7542250100771337,3.189638366852729,0.0,0.0
0.3930000000000007,3.811127997123498,3.709847032687,0.0,0.0
0.5240000000000009,4.794860879279375,4.213555798570202,1.6535550624126678,0.0
0.6550000000000011,5.79097757717296,4.71452080644113,3.3516060517276984,0.0
0.7860000000000014,6.806200003326173,5.227123228169663,5.622096126310215,0.0
0.9170000000000016,7.667258437031983,5.717353867698544,7.808423433028158,0.0
1.0480000000000018,8.586789916348216,6.2296827237790495,9.947910499521226,0.0
1.179000000000002,9.565480728062564,6.721248717083229,12.04884071113952,0.0
1.3100000000000025,10.485088562895314,7.18978370502373,13.740190455360343,0.0
1.4410000000000025,11.544649814479312,7.683162674304886,15.832678987699046,0.0
1.5720000000000027,12.769016713733238,8.258361940558546,16.86535048593558,0.0
1.703000000000003,13.93440645978493,8.972135248435757,17.841587594330864,0.0
1.8340000000000032,15.20388023840816,9.81126482155251,19.067741740173236,0.0
1.9650000000000036,16.548112824631595,10.77790176136372,20.58314881074525,0.0
2.096000000000004,17.855018915963328,11.8108460616359,22.367331162427963,0.0
2.227000000000004,18.969323703431076,12.854875065528663,24.328906376365968,0.7969528501974068
2.358000000000004,19.90954420890492,13.93378968127742,26.5093102675154,2.9773567413468385
2.4890000000000043,20.552151620781608,15.046029156473391,27.92534591460881,4.3933923884402475
2.6200000000000045,21.059768593285792,16.118243105641852,29.059331436581022,5.527377910412461
2.7510000000000048,21.547628488192757,17.19461032329659,30.00090067418731,6.468947148018749
2.882000000000005,21.958294122938906,18.26531506841124,30.975578084331637,7.443624558163076
3.013000000000005,22.285195430407686,19.32525204172008,32.49576994843057,8.96381642226201
3.144000000000005,22.53867741207712,20.389670212365303,34.440116423123854,10.908162896955293
3.2750000000000057,22.855718077852707,21.3587650717117,36.65809618397802,13.126142657809456
3.406000000000006,23.37129845202561,22.25188625907912,38.90363937749267,15.371685851324106
3.537000000000006,24.06704906427904,22.947044260123604,40.75650126333973,17.224547737171168
3.6680000000000064,24.675226150273957,23.46321318733846,42.15134126256935,18.619387736400792
3.799000000000007,25.1799651158173,23.668118867753268,43.09173297542426,19.559779449255696
3.930000000000007,25.74671950276722,23.520082902497425,43.7273325559085,20.195379029739936
4.061000000000007,26.379326148924424,23.138743322336843,43.72735168625879,20.19539816009023
4.192000000000007,27.012882198858584,22.667910101391183,42.997672623424975,19.465719097256414
4.323000000000008,27.4697665325672,22.23772118376708,41.87888070266373,18.346927176495168
4.454000000000008,27.784378302847816,21.81141329355867,40.61889710075747,17.08694357458891
4.585000000000008,28.088851512419375,21.39931268083717,39.91717196218658,16.385218436018018
4.716000000000008,28.3851003701539,21.092159786385626,39.75286559060488,16.220912064436316
4.847000000000008,28.557858095325138,21.00862717330339,39.641835527313326,16.109882001144765
4.978000000000009,28.5586562869422,21.13889306215949,39.59945330769308,16.06749978152452
5.109000000000009,28.407262577877315,21.46733683348881,39.590499335895416,16.058545809726855
5.240000000000009,28.15613746226878,21.863269719716428,39.74146135696992,16.20950783080136
5.371000000000009,27.77614639771318,22.2039327782084,40.457333926531845,16.925380400363284
5.5020000000000095,27.2044305296014,22.567952085830346,41.41174473887383,17.879791212705268
