time_s,actual_flow_ml_s,gradient_boosting_flow_ml_s,calibration_equation_flow_ml_s,offset_corrected_calibration_flow_ml_s
0.0,0.2826888331090011,0.6640039383962411,0.0,0.0
0.1319999999999996,0.5567512209875028,0.839823345824868,0.0,0.0
0.2639999999999993,0.8774677428903803,1.0488877517557649,0.0,0.0
0.395999999999999,1.268080855901896,1.219277410340302,0.0,0.0
0.5279999999999987,1.6879671202667976,1.3695725912381271,0.0,0.0
0.6599999999999984,2.230780479579993,1.5058866895446543,0.0,0.0
0.791999999999998,2.621576321228589,1.6129798837918905,0.0,0.0
0.9239999999999976,2.904291855337385,1.6864498758387092,0.0,0.0
1.0559999999999974,3.117638795498645,1.718625436961229,0.0,0.0
1.187999999999997,3.2464743052102967,1.7062696899157896,0.0,0.0
1.3199999999999967,3.3676677542885405,1.6670395239601132,0.0,0.0
1.4519999999999964,3.4298231076942547,1.6302372306073465,0.0,0.0
1.583999999999996,3.411447020876088,1.5670587773427245,0.0,0.0
1.7159999999999958,3.4054163805673787,1.4950881631567712,0.0,0.0
1.8479999999999956,3.451204301311785,1.4429408668838688,0.0,0.0
1.979999999999995,3.5056534059012727,1.409161259533435,0.0,0.0
2.1119999999999948,3.551521974560203,1.3885581233716962,0.0,0.0
2.2439999999999944,3.553282443972579,1.3740723884558534,0.0,0.0
2.375999999999994,3.5252026947142507,1.373159814213189,0.0,0.0
2.507999999999994,3.4959292974142766,1.4118543415934186,0.0,0.0
2.639999999999993,3.441309754513006,1.4921773594559964,0.0,0.0
2.771999999999993,3.365796793615686,1.5998073236238195,0.0,0.0
2.903999999999993,3.266614900923801,1.71453608739985,0.0,0.0
3.0359999999999925,3.142159745169808,1.850405569240732,0.2108047282735269,0.0
3.167999999999992,3.037864977640893,2.039605246259548,1.9451375752944973,0.0
3.299999999999992,2.956778322614316,2.2947242355569952,3.7754780970258897,0.0
3.4319999999999915,2.8919396041244814,2.549261518167456,5.789491969505451,0.0
3.563999999999991,2.8405243216167606,2.7824575962139333,8.135006428437238,0.0
3.695999999999991,2.803219189773814,2.9589044535738926,10.468282016285103,0.0
