method,total_time_samples,pooled_rmse_ml_s,pooled_mae_ml_s,pooled_r2,pooled_correlation_r,pooled_mean_error_ml_s
Gradient Boosting,8665,3.6461001389998255,2.7482571605476958,0.607175564036682,0.8789612578850582,2.12304433668332
Offset-corrected calibration,8665,5.690250617729229,4.057705839200331,0.04323759832783203,0.6374363995683551,-2.107651924125729
Calibration equation,8665,15.865731246168506,12.13226514230666,-6.438091180153084,0.6897335473105852,11.442909181025378
