rank,feature,r2,correlation_r,absolute_r,slope,intercept
1,energy_slope,0.28425833847320225,-0.5331588304372371,0.5331588304372371,-4145.124271663752,12.12751731777168
2,std_audio_energy,0.256416161604636,0.5063755144205101,0.5063755144205101,532.650577131508,2.0241048002838453
3,time_of_max_energy_s,0.15197306557022194,-0.3898372295846333,0.3898372295846333,-0.5645484669706808,20.93248351968648
4,flow_eq_from_mel_emax_window,0.1430334578356235,0.3781976438789953,0.3781976438789953,0.30250978796292066,3.679739496497689
5,log_energy_slope,0.13594844331057,-0.3687118703141657,0.3687118703141657,-67.0171737190077,13.491105623417765
6,mean_mel_power_emax_window_unlogged,0.12060279693351195,0.34727913403127453,0.34727913403127453,3.9595338325217306,10.79290222953833
7,duration_s_audio,0.11029734888231257,-0.33211044681297314,0.33211044681297314,-0.6005556738648374,31.083633138018165
8,dominant_freq_at_peak_energy,0.037641277738755474,-0.19401360194263567,0.19401360194263567,-0.001082240005924591,16.735604096954898
9,mean_audio_energy,0.03113453450942405,0.17644980733745264,0.17644980733745264,112.23219714991954,11.603683486992082
10,max_log_audio_energy,0.028306469721462668,0.16824526656480618,0.16824526656480618,4.889696522284077,25.423705323413483
11,max_audio_energy,0.020148154749004554,0.14194419589755827,0.14194419589755827,32.100465620797756,11.074366049282848
12,mean_dominant_freq,0.016673953552801435,-0.1291276637781436,0.1291276637781436,-0.005469202472016636,19.08947505187097
13,mean_log_audio_energy,0.011194566844862641,0.10580438008354187,0.10580438008354187,1.7799387329196104,22.1711086985769
14,std_log_audio_energy,0.010717250502929376,0.10352415420050244,0.10352415420050244,2.9918036272154143,12.132066618273615
15,max_dominant_freq,0.007768803769079957,-0.08814081783759316,0.08814081783759316,-0.00040467974189534113,18.62683408150468
16,avg_freq_above_80pct_energy,0.0009270543973145529,-0.030447568003280617,0.030447568003280617,-0.0009830113863975327,15.695578513860534
17,std_dominant_freq,0.0006920505353428252,0.02630685339113565,0.02630685339113565,0.0009896862616137784,14.194576760740778
18,max_freq_at_max_energy,0.0006510296913615488,-0.025515283485815065,0.025515283485815065,-0.0006702849733722689,15.517682926201985
