rank,model,train_rmse_ml_s,validation_rmse_ml_s,train_mae_ml_s,validation_mae_ml_s,train_r2,validation_r2,validation_bias_ml_s
1,Gradient Boosting,1.9284507460637534,5.284207470313305,1.3076656381617073,4.423285065121588,0.9326975264734855,0.6120926506921778,1.020374452478888
2,ElasticNet,4.2492917766859675,5.932293878548934,3.3912051797202976,4.895766387096688,0.6732263499211655,0.511107245395375,0.33246089394625594
3,Ridge,4.2079321416940765,5.948185939198138,3.347734329415378,4.892022326350711,0.6795565647693671,0.508484340877739,0.22068780874701974
4,Random Forest,2.037287643803298,6.0473416332674494,1.5078066144045104,4.989018617756124,0.9248863915549791,0.49196071707870337,0.5803721608492967
