audio_path,wav_path,csv_path,qmax_ml_s,duration_s_audio,max_freq_at_max_energy,avg_freq_above_80pct_energy,max_audio_energy,mean_audio_energy,std_audio_energy,max_log_audio_energy,mean_log_audio_energy,std_log_audio_energy,energy_slope,log_energy_slope,time_of_max_energy_s,dominant_freq_at_peak_energy,mean_dominant_freq,std_dominant_freq,max_dominant_freq,mean_mel_power_emax_window_unlogged,flow_eq_from_mel_emax_window
C:\school\project\healthy_dataset\included\audio\Rec_data_7.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_7.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_7.csv,27.653728157929937,38.4,340.5972326730014,340.5972326730014,0.11210782080888748,0.029422197490930557,0.02007606066763401,-2.1882941722869873,-3.813713788986206,0.8369845151901245,-0.0011639364593343088,-0.05010818179122485,10.727619047619047,936.6943359375,1139.5940165120767,1344.030507390598,10357.470703125,0.8702508807182312,36.31020223050197
C:\school\project\healthy_dataset\included\audio\Rec_data_9.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_9.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_9.csv,17.350406829398494,35.96802721088435,759.79382673208,772.8937202964262,0.1044975072145462,0.030785538256168365,0.019011743366718292,-2.258591890335083,-3.7251572608947754,0.7785912156105042,-0.00047597004915486706,-0.011647219342849867,24.56671201814059,1431.9580078125,955.1081116640778,1246.7305356349482,10217.5048828125,0.45773178339004517,28.25030578884122
C:\school\project\healthy_dataset\included\audio\Rec_data_12.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_12.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_12.csv,27.199413098572812,42.15469387755102,1414.3980264081877,903.7950363045875,0.13058675825595856,0.02590104565024376,0.025780806317925453,-2.035717248916626,-4.201773166656494,1.1005758047103882,-0.00015984538781805625,0.010013022170148518,15.580589569160997,1431.9580078125,730.6943988730992,816.1993483098302,10066.7724609375,1.1349856853485107,40.27995808023066
C:\school\project\healthy_dataset\included\audio\Rec_data_13.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_13.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_13.csv,26.629763016317668,30.506666666666668,1414.3980264081877,1136.618368578556,0.11097569763660431,0.024048324674367905,0.021429602056741714,-2.19844388961792,-4.194945812225342,1.0333380699157715,-0.0011082789895691132,-0.04829371667325597,8.777142857142858,1431.9580078125,804.0589677526596,1048.50898633527,10325.1708984375,0.9579868912696838,37.69856650789952
C:\school\project\healthy_dataset\included\audio\Rec_data_14.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_14.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_14.csv,20.893246187363882,30.72,916.9925495042345,646.2614158410796,0.1554088443517685,0.029939182102680206,0.028248200193047523,-1.8616958856582642,-3.9349403381347656,0.937609851360321,-0.0012265225705762356,-0.03822105445452779,9.264761904761905,1744.189453125,663.1394443451794,1093.3977129424022,10443.603515625,1.2843072414398193,42.27257945036526
C:\school\project\healthy_dataset\included\audio\Rec_data_15.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_15.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_15.csv,15.532435196300762,28.416009070294784,916.9925495042345,916.9925495042345,0.09198824316263199,0.020428765565156937,0.018184589222073555,-2.386094570159912,-4.2676568031311035,0.8686196208000183,-0.0008788148084496587,-0.04160999036431905,8.661043083900227,3897.509765625,717.7527438671232,1117.8304899334512,10303.6376953125,0.5168423056602478,29.622995601116983
C:\school\project\healthy_dataset\included\audio\Rec_data_18.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_18.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_18.csv,11.652749988884455,31.253333333333334,759.79382673208,759.79382673208,0.1358048915863037,0.02901865541934967,0.024334115907549858,-1.9965358972549438,-3.856999397277832,0.7860727310180664,-0.0005232842579205979,-0.01492323174652091,13.606893424036281,2379.4189453125,521.3996972293215,830.3437297521871,10002.1728515625,1.0547078847885132,39.14204212441801
C:\school\project\healthy_dataset\included\audio\Rec_data_19.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_19.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_19.csv,10.52456538170826,28.30934240362812,995.5919108903119,733.5940396033876,0.1296045333147049,0.01959102787077427,0.01651398278772831,-2.0432674884796143,-4.24603271484375,0.7821081280708313,-0.00019265529676706057,-0.007250217356850603,16.300408163265306,3100.78125,518.9950561523438,983.9989101828297,10422.0703125,0.3134032189846039,24.36450512020844
C:\school\project\healthy_dataset\included\audio\Rec_data_20.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_20.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_20.csv,7.852830020897267,28.821360544217686,183.3985099008469,183.3985099008469,0.1667453795671463,0.034088023006916046,0.02795242704451084,-1.7912871837615967,-3.6551244258880615,0.7144239544868469,-0.00031942416945218217,-0.006141552031610807,9.752380952380953,979.7607421875,415.92624470338984,772.9726451933761,10432.8369140625,1.7524118423461914,47.7292098106853
C:\school\project\healthy_dataset\included\audio\Rec_data_21.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_21.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_21.csv,24.530523320439336,22.016009070294785,916.9925495042345,733.5940396033876,0.10773240029811859,0.02914687618613243,0.022883595898747444,-2.228104829788208,-3.8947091102600098,0.9103466868400574,-0.0024556624337627305,-0.10750354237545331,3.877732426303855,1798.0224609375,963.9090836543455,1128.6331450642328,10077.5390625,0.7397550344467163,34.077323129389065
C:\school\project\healthy_dataset\included\audio\Rec_data_22.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_22.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_22.csv,28.22471210706509,27.54136054421769,785.9936138607725,759.79382673208,0.14464566111564636,0.029093241319060326,0.03214143589138985,-1.9334681034088135,-4.135281085968018,1.0859287977218628,-0.0009721887271549825,-0.029301690812230944,9.079002267573696,398.3642578125,624.9724974115211,949.6033069671088,7267.4560546875,1.2873338460922241,42.31146840326147
C:\school\project\healthy_dataset\included\audio\Rec_data_23.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_23.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_23.csv,32.72509003601443,30.144036281179137,288.1976584156166,288.1976584156166,0.26550057530403137,0.03756790608167648,0.02710208110511303,-1.3261382579803467,-3.6104471683502197,0.9268549680709839,-0.002115792086445423,-0.09965005638328447,18.970702947845805,312.2314453125,769.4355571186626,882.051384176924,5921.630859375,2.937080144882202,58.398269004462655
C:\school\project\healthy_dataset\included\audio\Rec_data_24.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_24.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_24.csv,32.40202747765779,25.87736961451247,916.9925495042345,916.9925495042345,0.165878027677536,0.04042431339621544,0.040736667811870575,-1.7965024709701538,-3.805126428604126,1.1505755186080933,0.0005628664388565048,0.04107432535262359,8.289523809523809,613.6962890625,769.3046201508621,1010.14116900242,10303.6376953125,2.2223739624023438,52.37117278208854
C:\school\project\healthy_dataset\included\audio\Rec_data_25.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_25.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_25.csv,29.41665555110938,26.11201814058957,890.792762375542,903.8926559398883,0.14374859631061554,0.030827822163701057,0.029585720971226692,-1.9396892786026,-3.953350305557251,1.0064617395401,-0.0019293984272102957,-0.05734222099276818,6.292607709750567,1798.0224609375,807.7410547866434,949.6225044033762,10152.9052734375,1.2808175086975098,42.22767036888117
C:\school\project\healthy_dataset\included\audio\Rec_data_26.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_26.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_26.csv,25.062558356676043,23.87201814058957,785.9936138607725,785.9936138607725,0.09159602969884872,0.019006524235010147,0.018905311822891235,-2.390367269515991,-4.453936576843262,1.0195752382278442,-0.0008831643218033337,-0.04916182084491236,6.8034467120181406,387.59765625,656.7297699254588,878.5069141831242,6632.2265625,0.8861696720123291,36.56823984066294
