time_s,gradient_boosting_flow_ml_s,calibration_equation_flow_ml_s,actual_flow_ml_s
0.0,0.9874281220504534,0.0,0.10981836343560052
0.13200000000000145,1.22766493726287,0.0,0.34675524345076986
0.2640000000000029,1.5087103457092206,0.0,0.6273812783258783
0.39600000000000435,1.833581398123372,0.0,0.959378252479329
0.5280000000000058,2.1597742243808633,0.0,1.3426538920947482
0.6600000000000072,2.388446873828542,0.0,1.7787835592098271
0.7920000000000087,2.614069137650036,0.0,2.2593932646563775
0.9240000000000101,2.8309310375121957,0.44569467060926443,2.6282167613668572
1.0560000000000116,3.0409677864433546,1.4213035787855497,2.7375145217518697
1.188000000000013,3.2510378084819216,2.4693883804790087,2.765071913626878
1.3200000000000145,3.4624043908247617,3.5763444819809496,2.7852907232201694
1.452000000000016,3.6595374280591355,4.745723996190614,2.8065361482939255
1.5840000000000174,3.9028321088248843,5.956027978374584,2.8052772355479765
1.7160000000000188,4.15157542158159,7.186263041418797,2.814743274084925
1.8480000000000203,4.355280729685384,8.467389497218312,2.894095984258399
1.9800000000000217,4.511025144085957,8.829516523598677,3.043549352514162
2.112000000000023,4.636059001755508,8.949489759196826,3.216974222556959
2.2440000000000246,4.700099891635189,8.898554365108696,3.4037013301561796
2.376000000000026,4.698270400066246,8.783451638665062,3.537715138512175
2.5080000000000275,4.668667205144937,8.636802444306822,3.552290948602879
2.640000000000029,4.624277218907928,8.476642816979558,3.4369677063886863
2.7720000000000304,4.657121342921648,8.431425844763536,3.314815532581891
2.904000000000032,4.731790608170867,8.428489771825564,3.268703243429991
3.0360000000000333,4.83593230188928,8.732536056484966,3.2049776709460387
3.168000000000035,4.918879833142029,9.207802379635943,3.050269815528524
3.3000000000000362,5.04560697358375,9.673459938348968,2.8489105665354955
3.4320000000000377,5.271885357013977,10.049449667884465,2.7421212846040643
3.564000000000039,5.453957007175582,10.152822491534327,2.7702380630018197
3.6960000000000406,5.764443114310673,10.337823409562139,2.7759539791351444
3.828000000000042,6.010994775096367,10.459958205837047,2.6757324385353676
3.9600000000000435,6.341836322702991,11.04745879071291,2.5374875322882784
4.092000000000045,6.736519207078499,11.580407356327415,2.49817541663973
4.224000000000046,7.132704187203176,12.223001146185219,2.574595330811446
4.356000000000048,7.51446293611988,12.950159090873465,2.6636638218848065
4.488000000000049,7.902611137337479,13.420572748326387,2.668821420339826
4.620000000000051,8.208345304423789,13.795898664857868,2.6477402521158955
4.752000000000052,8.407338258089453,14.239332229903692,2.6699162234955853
4.884000000000054,8.397109632515974,14.502641137549936,2.7057041303916827
5.016000000000055,8.285430855685716,14.586226379602632,2.720939138927405
5.1480000000000565,8.10772163897053,14.35042393612376,2.6636998436244212
5.280000000000058,7.858528958907442,13.596871431439448,2.5081030518158474
5.412000000000059,7.773792696371563,12.819814257693862,2.3430528550543395
5.544000000000061,7.521932439773314,11.945192795435092,2.2179672887448416
5.676000000000062,7.508835328472407,12.441594718448835,2.1615070176677547
5.808000000000064,7.540754463384254,12.738820715377745,2.1831503815275184
5.940000000000065,7.7027300349027055,13.506863222150518,2.2239904517679814
6.072000000000067,7.925488121692144,14.332846319829976,2.2671492372925006
6.204000000000068,8.118102764461552,14.803284138522699,2.3796372046199297
6.33600000000007,8.327610688918622,15.620357751450081,2.5869588961657133
6.468000000000071,8.23848058681351,15.745387972871399,2.829675451355847
6.6000000000000725,8.011840844865757,15.694797520408112,3.0186646426336763
6.732000000000074,7.622645096002652,14.73460936996029,3.1016792681985383
6.864000000000075,7.145070462417636,13.383572927861364,3.115862152673302
6.996000000000077,6.6465136754681025,11.877763401023786,3.132562213888637
7.128000000000078,6.169874903802704,10.448265941936087,3.1649444045981996
7.26000000000008,5.700950969926481,9.336199326109652,3.183525682745345
7.392000000000081,5.308809686050999,9.05716882760394,3.1618027850237707
7.524000000000083,5.000919764015847,9.074809369152893,3.0869490653403804
7.656000000000084,4.9140754559716715,9.148262060347232,3.007024506902641
7.7880000000000855,4.780631428581689,9.177100013438602,2.9787425174151605
7.920000000000087,4.7006605028929815,9.135102945897412,3.009824317906971
8.052000000000088,4.673594265589566,8.957635366598396,3.0462351710993887
8.18400000000009,4.55296724931617,8.860860936951108,3.003874289960696
8.316000000000091,4.496278568738933,8.883608441603778,2.879278847560824
8.448000000000093,4.483296943739784,8.666696811239333,2.7973991337730464
8.580000000000094,4.444295482661967,8.62987449106335,2.846058864182254
8.712000000000096,4.504775634671103,8.579179284467788,2.943919459008082
8.844000000000097,4.6762673205331104,8.317722227671428,2.9627673714332814
8.976000000000099,4.879785736036947,8.64178105559111,2.8885503781344037
9.1080000000001,5.050100842563506,9.191621441645859,2.8511285168083993
9.240000000000101,5.249637715271192,9.76031791836157,2.9555251569824774
9.372000000000103,5.436806978646741,10.401148449031485,3.0795154463133954
9.504000000000104,5.624913479544152,10.658549419177515,3.078430183054062
9.636000000000106,5.876797170316599,10.755772177342116,2.918595774775943
9.768000000000107,5.8846351444328375,10.864905896412882,2.7541295704619255
9.900000000000109,5.855558593178111,11.149890189739963,2.684369825963307
10.03200000000011,5.798575583845012,10.867008125627901,2.6514252034693095
10.164000000000112,5.716511014770988,10.668071706782332,2.545658088605172
10.296000000000113,5.8471335958446184,10.412936126874593,2.373441718653402
10.428000000000115,6.051242609816112,10.047266887448716,2.278063060034936
10.560000000000116,6.424059975839189,11.04630460705383,2.295182804718421
10.692000000000117,6.85196385455331,12.230013690387135,2.4017595760109827
10.824000000000119,7.405512173448175,13.626225059513299,2.5274148663225735
10.95600000000012,8.007823206172464,15.05967633352967,2.6241033385707317
11.088000000000122,8.641725477240247,15.925448978964738,2.703165046899638
11.220000000000123,9.148785334345307,16.607240772104735,2.7989942054616197
11.352000000000125,9.22701425946976,17.08296839491002,2.93821525444384
11.484000000000126,9.008983163593433,16.981725269849623,3.0712638881294
11.616000000000128,8.810219786043442,15.801640593439338,3.1075367209820537
11.748000000000129,8.520014407531894,14.241306622937614,3.0410058760345646
11.88000000000013,8.1319315213066,13.653686710923955,2.966520154694425
12.012000000000132,7.606438395043669,13.477549043741794,2.9581734009393648
12.144000000000133,7.067268434683168,13.66326524183034,2.9808395307226183
12.276000000000135,6.742673076018305,14.075397486623018,2.9319198484063835
12.408000000000136,6.539668273410384,13.120762233524665,2.8093944344654256
12.540000000000138,6.376424112865906,11.87886929359074,2.7064018290515834
12.67200000000014,5.786629976405423,10.800647525451666,2.688293362457837
12.80400000000014,5.350832653801702,9.54881616390145,2.7374220880030475
12.936000000000142,5.096689671578486,7.754293831991608,2.780265469046884
13.068000000000144,4.9668001928542544,6.623831863989018,2.7692820549272126
13.200000000000145,4.9117731184991476,5.71498303950393,2.7378543190827993
13.332000000000146,4.876463005466678,5.24883690948709,2.735914173810627
13.464000000000148,4.89685591683357,6.701696697551078,2.766727639980085
13.59600000000015,5.187448218155416,8.161019053348634,2.8072612010415567
13.72800000000015,5.563765171986052,9.364894280622885,2.7667535772410856
13.860000000000152,5.862428740351545,10.672280402676932,2.6684583015610093
13.992000000000154,5.961810633068981,10.808110947919438,2.6169945619719677
14.124000000000155,6.070732636384572,10.771364417542314,2.6366472374637597
14.256000000000157,6.119998984294142,10.56785650800033,2.7358237149332107
14.388000000000158,6.0929005140328565,10.470807433799225,2.8101363812878244
14.52000000000016,6.119155425094163,10.519723938088964,2.829019509375893
14.652000000000161,6.010752027379053,10.63955828600476,2.8611817840370994
14.784000000000162,5.992475856015167,10.89586368487144,2.9153481459994754
14.916000000000164,6.018686786516816,10.568160361226667,2.970157479012945
15.048000000000165,5.991968623203456,10.309224286115716,3.014267431050129
15.180000000000167,5.933841641319831,10.121097646805383,3.001496614275324
15.312000000000168,5.908691268580469,9.653034929722262,2.9789149441906386
15.44400000000017,5.918441952576138,9.40372303837374,3.001869661528132
15.576000000000171,5.931695475157919,9.155127869933,3.061593300914936
15.708000000000172,6.013271976207087,8.983380867339784,3.1602166404546224
15.840000000000174,6.12460206424285,9.426690245401584,3.2641134281872484
