method,recordings,mean_rmse_ml_s,sd_rmse_ml_s,median_rmse_ml_s,mean_mae_ml_s,sd_mae_ml_s,median_mae_ml_s,mean_r2,sd_r2,median_r2,mean_correlation_r,sd_correlation_r,median_correlation_r,mean_mean_error_ml_s,sd_mean_error_ml_s,median_mean_error_ml_s,mean_maximum_absolute_error_ml_s,sd_maximum_absolute_error_ml_s,median_maximum_absolute_error_ml_s,mean_shape_rmse_normalized,sd_shape_rmse_normalized,median_shape_rmse_normalized,mean_absolute_qmax_error_ml_s,sd_absolute_qmax_error_ml_s,median_absolute_qmax_error_ml_s,mean_absolute_volume_error_ml,sd_absolute_volume_error_ml,median_absolute_volume_error_ml
Gradient Boosting,53,3.230292657694107,1.4626184018387776,3.045690657934389,2.6673055204103915,1.3240052445039734,2.3877408954641313,-1.5791043242612657,7.257861577138822,0.4562269341063445,0.7816594368466446,0.3310357658310471,0.9264886316167407,1.9968664814483437,1.5096230268192588,1.689094839331453,7.0897371844164185,2.6425926909431205,6.788252197347297,0.17444111504463747,0.12329741924502538,0.14150455845524887,3.688570450772736,2.578404567383899,3.336224713865814,46.22586121222274,42.23017410238436,37.21910463835055
Calibration equation,53,14.506865231024097,6.011589752938952,13.515290474415417,11.942697410005328,5.557232304257176,10.493464793051535,-36.244442440141334,57.46464532666493,-12.49609280647057,0.7528301428645711,0.359559802354077,0.9081928335180651,11.20610723485926,5.775106833487892,9.940201677261944,26.67287179379655,7.867649530404763,26.491147129114825,0.20206236740963043,0.13592140236560238,0.15891221710342884,23.53195352616856,8.33293648426907,23.472976161972507,246.47439436839264,147.81199498045143,200.46799391044
